#START7777
#--------------------------------------------------------------------------------------------------
#  주간/중기예보구역 조회
#---------------------------------------------------------------------------------------------------
#  1. REG_ID   : 예보구역코드
#  2. TM_ST    : 시작시각(년월일시분,KST)
#  3. TM_ED    : 종료시각(년월일시분,KST)
#  4. REG_SP   : 특성 (A:육상,C:도시,H:해상)
#  5. REG_NAME : 예보구역명
#---------------------------------------------------------------------------------------------------
# REG_ID TM_ST        TM_ED        REG_SP REG_NAME
11A00101 201610131800 210012310000 C      백령도 
11B00000 201101110800 210012310000 A      서울.인천.경기 
11B20301 201610131800 210012310000 C      의정부 
11B20302 201610131800 210012310000 C      고양 
11B20304 201610131800 210012310000 C      양주 
11B20305 201501221100 210012310000 C      파주 
11B20401 201610131800 210012310000 C      동두천 
11B20402 201610131800 210012310000 C      연천 
11B20403 201610131800 210012310000 C      포천 
11B20404 201610131800 210012310000 C      가평 
11B20501 201610131800 210012310000 C      구리 
11B20502 201610131800 210012310000 C      남양주 
11B20503 201610131800 210012310000 C      양평 
11B20504 201610131800 210012310000 C      하남 
11B20601 201501221100 210012310000 C      수원 
11B20602 201610131800 210012310000 C      안양 
11B20603 201610131800 210012310000 C      오산 
11B20604 201610131800 210012310000 C      화성 
11B20605 201610131800 210012310000 C      성남 
11B20606 201610131800 210012310000 C      평택 
11B20609 201610131800 210012310000 C      의왕 
11B20610 201610131800 210012310000 C      군포 
11B20611 201610131800 210012310000 C      안성 
11B20612 201610131800 210012310000 C      용인 
11B20701 201610131800 210012310000 C      이천 
11B20702 201610131800 210012310000 C      광주 
11B20703 201610131800 210012310000 C      여주 
11BD0000 199001010000 210012310000 0      서울경기.강원영서 
11C00000 199001010000 210012310000 A      충청도 
11C10000 201507061100 210012310000 A      충청북도 
11C10101 201610131800 210012310000 C      충주 
11C10102 201610131800 210012310000 C      진천 
11C10103 201610131800 210012310000 C      음성 
11C10201 201610131800 210012310000 C      제천 
11C10202 201610131800 210012310000 C      단양 
11C10301 201501221100 210012310000 C      청주 
11C10302 201610131800 210012310000 C      보은 
11C10303 201610131800 210012310000 C      괴산 
11C10304 201610131800 210012310000 C      증평 
11C10401 201610131800 210012310000 C      추풍령 
11C10402 201610131800 210012310000 C      영동 
11C10403 201610131800 210012310000 C      옥천 
11C20000 199001010000 210012310000 A      충청남도 
11C20101 201501221100 210012310000 C      서산 
11C20102 201610131800 210012310000 C      태안 
11C20103 201610131800 210012310000 C      당진 
