지역명(한글),STN ID,위도(LAT),경도(LON),관측종류,제공 정보,해수면온도+유의파고,기온+풍향+풍속,미제공 정보
울릉도,21229,37.45540000,131.11440000,B,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)",a,b,
덕적도,22101,37.23610000,126.01880000,B,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)",a,b,
칠발도,22102,34.79330000,125.77690000,B,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)",a,b,
거문도,22103,34.00140000,127.50140000,B,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)",a,b,
거제도,22104,34.76670000,128.90000000,B,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)",a,b,
동해,22105,37.54420000,130.00000000,B,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)",a,b,
포항,22106,36.35000000,129.78330000,B,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)",a,b,
마라도,22107,33.08330000,126.03330000,B,,,,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)"
외연도,22108,36.25000000,125.75000000,B,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)",a,b,
신안,22183,34.73330000,126.24170000,B,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)",a,b,
추자도,22184,33.79361000,126.14110000,B,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)",a,b,
인천,22185,37.09170000,125.42890000,B,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)",a,b,
부안,22186,35.65860000,125.81390000,B,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)",a,b,
서귀포,22187,33.12810000,127.02280000,B,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)",a,b,
통영,22188,34.39170000,128.22500000,B,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)",a,b,
울산,22189,35.34530000,129.84140000,B,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)",a,b,
울진,22190,36.90690000,129.87440000,B,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)",a,b,
서해170,22191,36.13333000,124.05694000,B,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)",a,b,
서해206,22192,34.00000000,123.26250000,B,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)",a,b,
홍도,22298,34.74666700,125.24555600,B,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)",a,b,
서해190,22299,35.00000000,124.13000000,B,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)",a,b,
남해239,22300,32.83000000,124.73000000,B,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)",a,b,
남해465,22301,31.66666700,126.40000000,B,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)",a,b,
동해78,22302,36.96666700,130.51666700,B,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)",a,b,
풍도,22303,37.15833000,126.41000000,B,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)",a,b,
남해244,22304,32.72222000,127.27222000,B,,,,"HM(상대습도), PA(해면기압), TA(기온), TW(해수면온도), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)"
제주항,22457,33.52480000,126.49430000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
장안,22454,35.29730000,129.28870000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
연곡,22451,37.86680000,128.88570000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
추자도,22468,33.97230000,126.27850000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
신진도,22444,36.60480000,126.12650000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
월포,22490,36.21670000,129.40130000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
안면도,22488,36.53670000,126.29800000,C,TW(해수면온도),,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)"
대치마도,22489,35.01730000,126.03220000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
이작도,22461,37.16480000,126.20670000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
자월도,22472,37.30420000,126.15800000,C,TW(해수면온도),,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WH(유의파고), WS(풍속), WS_GST(GUST풍속)"
해금강,22455,34.73670000,128.69080000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
소매물도,22485,34.62050000,128.53830000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
후포,22465,36.71880000,129.48820000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
울릉읍,22464,37.47180000,130.90030000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
혈암,22442,37.54100000,130.85420000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
금오도,22466,34.56670000,127.77650000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
고흥,22478,34.37520000,127.17800000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
노화도,22477,34.24130000,126.49150000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
청산도,22456,34.13770000,126.74370000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
맹골수도,22481,34.22650000,125.95430000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
진도,22449,34.44130000,126.05600000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
영광,22475,35.43530000,126.17650000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
토성,22471,38.27680000,128.57550000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
서천,22473,36.16680000,126.33300000,C,"TW(해수면온도), WH(유의파고)",a,,"HM(상대습도), PA(해면기압), TA(기온), WD(풍향), WS(풍속), WS_GST(GUST풍속)"
