code,obsPostName,위도,경도,marine_reg_name,AddressA,AddressB,AddressC,가까운지역1_code,가까운지역1_지역명,가까운지역1_위도,가까운지역1_경도,가까운지역2_code,가까운지역2_지역명,가까운지역2_위도,가까운지역2_경도,가까운지역3_code,가까운지역3_지역명,가까운지역3_위도,가까운지역3_경도
AD_0001,시화방조제,37.311241,126.607595,서해북부,경기도,안산시 단원구,대부동동 2110,DT_0052,인천송도,37.3380555555556,126.586111111111,DT_0008,안산,37.192222,126.647222,SO_0564,국화도,37.060556,126.560556
AD_0002,삼길포항,37.003892,126.453104,서해중부,충청남도,서산시 대산읍,화곡리,DT_0017,대산,37.0075,126.352778,SO_0564,국화도,37.060556,126.560556,SO_0562,승봉도,37.169722,126.290556
AD_0003,석문방조제,37.001554,126.643014,서해중부,충청남도,당진시 송산면,석문방조제로,SO_0564,국화도,37.060556,126.560556,DT_0002,평택,36.966944,126.822778,DT_0017,대산,37.0075,126.352778
AD_0004,대부도,37.207938,126.540241,서해북부,경기도,안산시 단원구,대부남동 1345,SO_0562,승봉도,37.169722,126.290556,DT_0043,영흥도,37.2386111111111,126.428611111111,SO_0536,덕적도,37.227778,126.157778
AD_0005,제부도,37.166686,126.616773,서해북부,경기도,화성시 서신면,제부리,DT_0008,안산,37.192222,126.647222,SO_0564,국화도,37.060556,126.560556,DT_0043,영흥도,37.2386111111111,126.428611111111
AD_0006,전곡항,37.187681,126.652290,서해북부,경기도,화성시 서신면,전곡리,DT_0008,안산,37.192222,126.647222,SO_0564,국화도,37.060556,126.560556,DT_0043,영흥도,37.2386111111111,126.428611111111
AD_0007,석모도,37.654450,126.327121,서해북부,인천광역시,강화군 삼산면,매음리 627-71,SO_0539,강화외포,37.700833,126.3725,DT_0064,교동대교,37.789611,126.339611,SO_0554,영종왕산,37.458056,126.358889
AD_0008,궁평항,37.116110,126.677130,서해북부,경기도,화성시 서신면,궁평항로 1049-24,DT_0008,안산,37.192222,126.647222,SO_0564,국화도,37.060556,126.560556,DT_0002,평택,36.966944,126.822778
AD_0009,자월도,37.244555,126.318354,서해북부,인천광역시,옹진군 자월면,자월리 306-10,SO_0536,덕적도,37.227778,126.157778,DT_0043,영흥도,37.2386111111111,126.428611111111,SO_0562,승봉도,37.169722,126.290556
AD_0010,왜목항,37.044797,126.527138,서해중부,충청남도,당진시 석문면,교로리,SO_0564,국화도,37.060556,126.560556,DT_0017,대산,37.0075,126.352778,DT_0002,평택,36.966944,126.822778
AD_0011,도비도항,37.018513,126.462040,서해중부,충청남도,당진시 석문면,난지도리,DT_0017,대산,37.0075,126.352778,SO_0564,국화도,37.060556,126.560556,DT_0002,평택,36.966944,126.822778
AD_0012,황금산,36.990378,126.327876,서해중부,충청남도,서산시,독곶리 산 230-2,DT_0017,대산,37.0075,126.352778,DT_0050,태안,36.9130555555556,126.238888888889,SO_0564,국화도,37.060556,126.560556
AD_0013,벌천포해수욕장,36.968196,126.336212,서해중부,충청남도,서산시 대산읍,오지리,DT_0017,대산,37.0075,126.352778,DT_0050,태안,36.9130555555556,126.238888888889,SO_0564,국화도,37.060556,126.560556
AD_0014,이원방조제,36.904202,126.263425,서해중부,충청남도,태안군 이원면,포지리 1288,DT_0050,태안,36.9130555555556,126.238888888889,DT_0017,대산,37.0075,126.352778,SO_0699,천리포항,36.803889,126.146944
AD_0015,서산A지구방조제,36.602727,126.435026,서해중부,충청남도,홍성군 서부면,궁리,SO_0574,백사장항,36.586389,126.315,DT_0025,보령,36.406389,126.486111,DT_0034,안흥,36.673611,126.132222
AD_0016,서산B지구방조제,36.625471,126.360493,서해중부,충청남도,태안군 남면,당암리 980,SO_0574,백사장항,36.586389,126.315,DT_0025,보령,36.406389,126.486111,DT_0034,안흥,36.673611,126.132222
AD_0018,가의도항,36.673562,126.064058,서해중부,충청남도,태안군 근흥면,가의도리,DT_0067,안흥,36.6746388888889,126.129555555556,SO_0574,백사장항,36.586389,126.315,SO_0699,천리포항,36.803889,126.146944
AD_0019,학암포항,36.902522,126.206355,서해중부,충청남도,태안군 원북면,방갈리,DT_0050,태안,36.9130555555556,126.238888888889,SO_0699,천리포항,36.803889,126.146944,DT_0017,대산,37.0075,126.352778
AD_0020,신진도항,36.902522,126.206355,서해중부,충청남도,태안군 근흥면,신진도리 75-12,DT_0050,태안,36.9130555555556,126.238888888889,SO_0699,천리포항,36.803889,126.146944,DT_0017,대산,37.0075,126.352778
AD_0021,드르니항,36.590059,126.314880,서해중부,충청남도,태안군 남면,신온리,SO_0574,백사장항,36.586389,126.315,SO_0574,백사장항,36.586389,126.315,DT_0067,안흥,36.6746388888889,126.129555555556
AD_0022,영목항,36.400043,126.426899,서해중부,충청남도,태안군 고남면,고남리,DT_0025,보령,36.406389,126.486111,SO_0574,백사장항,36.586389,126.315,DT_0051,서천마량,36.1288888888889,126.495277777778
AD_0023,대천항(무창포항),36.328198,126.509917,서해중부,충청남도,보령시,신흑동 2245,DT_0025,보령,36.406389,126.486111,DT_0051,서천마량,36.1288888888889,126.495277777778,SO_0574,백사장항,36.586389,126.315
AD_0024,무창포해수욕장,36.245178,126.536391,서해중부,충청남도,보령시 웅천읍,열린바다1길 10,DT_0025,보령,36.406389,126.486111,DT_0051,서천마량,36.1288888888889,126.495277777778,DT_0024,장항,36.006944,126.6875
AD_0025,홍원항,36.162883,126.499793,서해중부,충청남도,서천군 서면,도둔리,DT_0051,서천마량,36.1288888888889,126.495277777778,DT_0018,군산,35.975556,126.563056,DT_0025,보령,36.406389,126.486111
AD_0026,새만금방조제,35.833138,126.484020,서해남부,전북특별자치도,군산시,비응도동 123,SO_0547,말도,35.855278,126.318333,DT_0018,군산,35.975556,126.563056,DT_0030,위도,35.618056,126.301667
AD_0027,비안도선착장,35.735745, 126.461443,서해남부,전북특별자치도,군산시 옥도면,비안도리,SO_0547,말도,35.855278,126.318333,DT_0018,군산,35.975556,126.563056,DT_0030,위도,35.618056,126.301667
AD_0028,격포항,35.623433,126.463768,서해남부,전북특별자치도,부안군 변산면,격포리 788-15,DT_0068,위도,35.6180844444444,126.301815833333,SO_0547,말도,35.855278,126.318333,DT_0003,영광,35.426111,126.420556
AD_0029,구시포항,35.449806,126.435537,서해남부,전북특별자치도,고창군 상하면,자룡리 산 96,DT_0068,위도,35.6180844444444,126.301815833333,SO_0547,말도,35.855278,126.318333,DT_0003,영광,35.426111,126.420556
AD_0030,동호항,35.521553,126.486863,서해남부,전북특별자치도,고창군 해리면,동호리,DT_0003,영광,35.426111,126.420556,DT_0068,위도,35.6180844444444,126.301815833333,DT_0030,위도,35.618056,126.301667
AD_0031,항화도항,35.167977,126.359493,서해남부,전라남도,영광군 염산면,옥실리,DT_0003,영광,35.426111,126.420556,DT_0068,위도,35.6180844444444,126.301815833333,DT_0030,위도,35.618056,126.301667
AD_0032,비금도가산,34.760966,125.999144,서해남부,전라남도,신안군 비금면,가산리 180-58,SO_0631,암태도,34.853056,126.071389,SO_0753,하의도웅곡,34.608333,126.038611,SO_0548,우이도,34.620556,125.856667
AD_0033,송평항,34.426953,126.481791,남해서부,전라남도,해남군 화산면,평호리 395-39,SO_0754,평호리,34.448056,126.455,SO_0703,땅끝항,34.298889,126.531111,DT_0028,진도,34.377778,126.308611
AD_0034,갈두항,34.330291,126.534920,남해서부,전라남도,해남군 송지면,송호리 1127-22,SO_0754,평호리,34.448056,126.455,SO_0703,땅끝항,34.298889,126.531111,SO_0755,원동항,34.393889,126.648611
AD_0035,동천항,34.203406,126.624946,남해서부,전라남도,완도군 노화읍,동천리,SO_0704,소안항,34.15,126.631944,SO_0703,땅끝항,34.298889,126.531111,DT_0027,완도,34.315556,126.759722
AD_0036,정남진해양낚시공원,34.470784,126.976240,남해서부,전라남도,장흥군 회진면,해양낚시길 137,SO_0739,도장항,34.367306,127.011972,SO_0705,마량항,34.448889,126.821944,SO_0761,녹동항,34.527028,127.134528
AD_0037,고흥만방조제,34.651229,127.213832,남해서부,전라남도,고흥군 도덕면,용동리 1454,SO_0757,안남리,34.730278,127.264444,SO_0761,녹동항,34.527028,127.134528,DT_0026,고흥발포,34.481111,127.342778
AD_0038,용두항,34.835211,127.433247,남해서부,전라남도,순천시 별량면,구룡리 6-8,SO_0758,달천도,34.761667,127.563056,SO_0757,안남리,34.730278,127.264444,DT_0092,여호항,34.661944,127.469167
AD_0039,내지항,34.855647,128.180548,남해동부,경상남도,통영시 사량면,상도일주로 494,SO_0712,능양항,34.812222,128.245,DT_0061,삼천포,34.924167,128.069722,SO_0711,창선도,34.840556,128.019444
AD_0040,계도항,34.974278,128.517630,남해동부,경상남도,거제시 사등면,창호리 1070-24,SO_0552,고현항,34.901944,128.622222,SO_0759,장문리,34.873611,128.424167,SO_0570,광암항,35.1025,128.498889
AD_0041,가배항,34.785960,128.568371,남해동부,경상남도,거제시 동부면,가배리,DT_0029,거제도,34.801389,128.699167,DT_0014,통영,34.827778,128.434722,SO_0578,소매물도,34.621944,128.548056
