Code,Name,Latitude,Longitude,Marine-REG_ID,Marine-REG_SP,Marine-REG_NAME,Temper-REG_ID,Temper-REG_SP,Temper-REG_NAME,division
SO_0326,미조항,34.706389,128.048611,12B20000,I,남해동부,11H20405,C,남해,경상남도
SO_0536,덕적도,37.227778,126.157778,12A10000,I,서해북부,11B20201,C,인천,수도권
SO_0537,벽파진,34.539444,126.346111,12A30000,I,서해남부,21F20201,C,진도,서남해안
SO_0538,안마도,35.345556,126.016111,12A30000,I,서해남부,21F20102,C,영광,서남해안
SO_0539,강화외포,37.700833,126.3725,12A10000,I,서해북부,11B20101,C,강화,수도권
SO_0540,호산항,37.176111,129.342778,12C20000,I,동해중부,11D20602,C,삼척,강원영동
SO_0543,서거차도,34.253611,125.917778,12A30000,I,서해남부,21F20201,C,진도,서남해안
SO_0547,말도,35.855278,126.318333,12A20000,I,서해중부,21F10501,C,군산,서남해안
SO_0548,우이도,34.620556,125.856667,12A30000,I,서해남부,21F20803,C,신안,서남해안
SO_0550,나로도,34.463056,127.453889,12B10000,I,남해서부,11F20403,C,고흥,전라남도
SO_0551,여서도,33.988056,126.923333,12A30000,I,서해남부,11F20301,C,완도,전라남도
SO_0552,고현항,34.901944,128.622222,12B20000,I,남해동부,11H20403,C,거제,경상남도
SO_0553,해운대,35.160278,129.1915,12B20000,I,남해동부,11H20201,C,부산,경상남도
SO_0554,영종왕산,37.458056,126.358889,12A10000,I,서해북부,11B20201,C,인천,수도권
SO_0555,서망항,34.366667,126.134167,12A30000,I,서해남부,21F20201,C,진도,서남해안
SO_0562,승봉도,37.169722,126.290556,12A10000,I,서해북부,11B20201,C,인천,수도권
SO_0563,울도,37.035556,125.995,12A10000,I,서해북부,11B10101,C,서울,수도권
SO_0564,국화도,37.060556,126.560556,12A10000,I,서해북부,11C20103,C,당진,충청남도
SO_0565,향화도항,35.167778,126.359444,12A30000,I,서해남부,21F20102,C,영광,서남해안
SO_0566,송공항,34.848333,126.225278,12A30000,I,서해남부,21F20803,C,신안,서남해안
SO_0567,쉬미항,34.504722,126.183611,12A30000,I,서해남부,21F20201,C,진도,서남해안
SO_0568,백야도,34.624444,127.632222,12B10000,I,남해서부,11F20401,C,여수,전라남도
SO_0569,남포항,34.957778,128.321667,12B20000,I,남해동부,11H10201,C,포항,경상북도
SO_0570,광암항,35.1025,128.498889,12B20000,I,남해동부,11H20301,C,창원,경상남도
SO_0571,거제외포,34.939444,128.718056,12B20000,I,남해동부,11H20403,C,거제,경상남도
SO_0572,읍천항,35.690833,129.475556,12B20000,I,남해동부,11H10202,C,경주,경상북도
