Code,Name,Latitude,Longitude,nx,ny,marine_reg_name,AddressA,AddressB,AddressC
SO_0326,미조항,34.706389,128.048611,80,65,남해동부,경상남도,남해군,방파제길
SO_0536,덕적도,37.227778,126.157778,46,119,서해북부,인천광역시,옹진군,덕적면
SO_0537,벽파진(벽파항),34.539444,126.346111,49,61,서해남부,전라남도,진도군,벽파길
SO_0538,안마도,35.345556,126.016111,43,78,서해남부,전라남도,영광군,안마길
SO_0539,강화외포,37.700833,126.3725,49,130,서해북부,인천광역시,강화군,내가면
SO_0540,호산항,37.176111,129.342778,101,119,동해중부,강원특별자치도,삼척시,호산3길
SO_0543,서거차도,34.253611,125.917778,42,54,서해남부,전라남도,진도군,서거차도1길
SO_0547,말도,35.855278,126.318333,49,89,서해중부,전북특별자치도,군산시,말도길
SO_0548,우이도(신안),34.620556,125.856667,40,62,서해남부,전라남도,신안군,우이진리길
SO_0550,나로도,34.463056,127.453889,69,59,남해서부,전라남도,고흥군,나로도항길
SO_0551,여서도,33.988056,126.923333,60,49,서해남부,전라남도,완도군,여서도길
SO_0552,고현항,34.901944,128.622222,90,69,남해동부,경상남도,거제시,연하해안로
SO_0553,해운대,35.1602777777778,129.1915,100,75,남해동부,부산광역시,해운대구,중1동
SO_0554,영종왕산,37.458056,126.358889,49,124,서해북부,인천광역시,중구,왕산마리나길 131
SO_0555,서망항,34.366667,126.134167,45,57,서해남부,전라남도,진도군,서망항길
SO_0562,승봉도,37.169722,126.290556,48,118,서해북부,인천광역시,옹진군,자월면
SO_0563,울도,37.035556,125.995,43,115,서해북부,인천광역시,옹진군,덕적면 울도리 산46-1
SO_0564,국화도,37.060556,126.560556,53,116,서해북부,경기도,화성시,우정읍
SO_0565,향화도항,35.167778,126.359444,49,74,서해남부,전라남도,영광군,77
SO_0566,송공항,34.848333,126.225278,47,67,서해남부,전라남도,신안군,압해로
SO_0567,쉬미항,34.504722,126.183611,46,60,서해남부,전라남도,진도군,소포리
SO_0568,백야도,34.624444,127.632222,72,63,남해서부,전라남도,여수시,백야해안길
SO_0569,남포항,34.957778,128.321667,85,70,남해동부,경상남도,고성군,공룡로
SO_0570,광암항,35.1025,128.498889,88,74,남해동부,경상남도,창원시,해양관광로
SO_0571,거제외포,34.939444,128.718056,92,70,남해동부,경상남도,거제시,외포5길 60
SO_0572,읍천항,35.690833,129.475556,104,87,남해동부,경상북도,경주시,양남항구길
SO_0573,양포항,35.881389,129.5275,105,91,남해동부,경상북도,포항시,양포항길
SO_0574,백사장항,36.586389,126.315,48,105,서해중부,충청남도,태안군,안면읍
SO_0576,화봉리,34.661111,126.256944,48,63,서해남부,전라남도,해남군,화봉리
SO_0577,가거도,34.050833,125.128889,27,50,서해남부,전라남도,신안군,가거도길
SO_0578,소매물도,34.621944,128.548056,89,63,남해동부,경상남도,통영시,장군봉 등산로
SO_0581,강양항,35.39,129.344722,102,81,남해동부,울산광역시,울주군,서생면 진하리 410
SO_0631,암태도,34.853056,126.071389,44,68,서해남부,전라남도,신안군,중부로
SO_0699,천리포항,36.803889,126.146944,46,110,서해중부,충청남도,태안군,소원면 천리포2길 61
SO_0701,홍도항,34.681111,125.195,29,64,서해남부,전라남도,신안군,홍도1길
SO_0702,진도옥도,34.350833,126.018611,43,57,서해남부,전라남도,진도군,옥도길
SO_0703,땅끝항,34.298889,126.531111,53,55,서해남부,전라남도,해남군,갈두산 등산로
SO_0704,소안항(완도),34.15,126.631944,54,52,서해남부,전라남도,완도군,소안로
SO_0705,마량항,34.448889,126.821944,58,59,서해남부,전라남도,강진군,미항로 181-3
SO_0706,청산도,34.180833,126.856111,59,53,서해남부,전라남도,완도군,청산로
SO_0707,시산항,34.394444,127.261667,66,58,남해서부,전라남도,고흥군,시산리
SO_0708,안도항,34.479722,127.797778,75,60,남해서부,전라남도,여수시,안도리
SO_0709,두문포,34.643611,127.7975,75,63,남해서부,전라남도,여수시,죽포리
SO_0710,봉우항,34.932778,127.9275,78,70,남해서부,경상남도,남해군,강진로438번길
SO_0711,창선도,34.840556,128.019444,79,68,남해동부,경상남도,남해군,동부대로2084번길
SO_0712,능양항,34.812222,128.245,83,67,남해동부,경상남도,통영시,백학길
SO_0731,대진항,38.501389,128.426167,84,147,동해중부,강원특별자치도,고성군,대진항길
SO_0732,남애항,37.944222,128.788333,91,136,동해중부,강원특별자치도,양양군,매바위길
SO_0733,강릉항,37.772278,128.951333,94,132,동해중부,강원특별자치도,강릉시,경강로
SO_0734,궁촌항,37.327806,129.270028,99,123,동해중부,강원특별자치도,삼척시,근덕면 궁촌리 213-13
SO_0735,죽변항,37.054833,129.423917,102,117,동해중부,,울진군,죽변항길
SO_0736,축산항,36.509944,129.448139,103,105,동해남부,,영덕군,동해안 자전거길
SO_0737,강구항,36.358583,129.391306,102,102,동해남부,,영덕군,동해안 자전거길
SO_0738,여호항,34.661556,127.469556,69,64,남해서부,전라남도,고흥군,여호리
SO_0739,도장항,34.367306,127.011972,61,57,남해서부,전라남도,완도군,장정리
SO_0740,보옥항,34.129,126.513556,52,52,서해남부,전라남도,완도군,보길로
SO_0752,검산항,35.0,126.107778,45,71,서해남부,전라남도,신안군,보물섬길
SO_0753,하의도웅곡,34.608333,126.038611,44,62,서해남부,전라남도,신안군,곰실길 3-23
SO_0754,평호리,34.448056,126.455,51,59,서해남부,전라남도,해남군,평호길
SO_0755,원동항,34.393889,126.648611,55,58,서해남부,전라남도,완도군,완도로
SO_0756,사초항,34.470278,126.761111,57,59,서해남부,전라남도,강진군,사초리
SO_0757,안남리,34.730278,127.264444,66,65,남해서부,전라남도,고흥군,동서로
SO_0758,달천도,34.761667,127.563056,71,66,남해서부,전라남도,여수시,섬달천길
SO_0759,장문리,34.873611,128.424167,86,69,남해동부,경상남도,통영시,죽림해안로
SO_0760,오산항,36.888889,129.416111,102,113,동해남부,경상북도,울진군,망양정로 54
SO_0761,녹동항,34.527028,127.134528,63,61,남해서부,전라남도,고흥군,목넘가는길
DT_0001,인천,37.451944,126.592222,53,124,서해북부,인천광역시,중구,항동 7가 82-10
DT_0002,평택,36.966944,126.822778,57,114,서해중부,충청남도,당진시,당진항만로
DT_0003,영광,35.426111,126.420556,50,80,서해남부,전라남도,영광군,버든
DT_0004,제주,33.5275,126.543056,53,39,제주도해상,제주특별자치도,제주시,임항로
DT_0005,부산,35.096389,129.035278,97,74,남해동부,부산광역시,중구,남포동
DT_0006,묵호,37.550278,129.116389,97,127,동해중부,강원특별자치도,동해시,묵호진동 15-200
DT_0007,목포,34.7797222222222,126.375556,50,66,서해남부,전라남도,목포시,해안로
DT_0008,안산,37.192222,126.647222,54,119,서해북부,경기도,안산시,대부황금로 5-5
DT_0009,포항,36.0472222222222,129.383888888889,103,95,동해남부,경상북도,포항시,동해안 자전거길
DT_0010,서귀포,33.24,126.561667,53,32,남해서부,제주특별자치도,서귀포시,칠십리로
DT_0011,후포,36.6775,129.453056,103,109,동해남부,경상북도,울진군,후포면
DT_0012,속초,38.207222,128.594167,87,141,동해중부,강원특별자치도,속초시,설악금강대교로
DT_0013,울릉도,37.491389,130.913611,127,128,동해중부,경상북도,울릉군,해안산책로
DT_0014,통영,34.827778,128.434722,87,68,남해동부,경상남도,통영시,통영 자전거길
DT_0015,마산,35.21,128.588889,89,76,남해동부,경상남도,창원시,무역로
DT_0016,여수,34.747222,127.765556,75,66,남해서부,전라남도,여수시,오동도로 248
DT_0017,대산,37.0075,126.352778,49,114,서해북부,충청남도,서산시,독곶2로
DT_0018,군산,35.975556,126.563056,53,92,서해중부,전북특별자치도,군산시,서해로
DT_0019,가덕도,35.024167,128.810833,93,72,남해동부,,부산광역시,가덕해안로
DT_0020,울산,35.501944,129.387222,103,83,남해동부,,울산광역시,장생포고래로 28
DT_0021,추자도,33.961944,126.300278,48,48,서해남부,제주특별자치도,제주시,대서2길
DT_0022,성산포,33.474722,126.927778,60,37,남해서부,제주특별자치도,서귀포시,성산등용로
DT_0023,모슬포,33.214444,126.251111,48,32,남해서부,제주특별자치도,서귀포시,하모항구로
DT_0024,장항,36.006944,126.6875,55,93,서해중부,충청남도,서천군,장산로
DT_0025,보령,36.406389,126.486111,52,101,서해중부,충청남도,보령시,영보리
DT_0026,고흥발포,34.481111,127.342778,67,60,남해서부,전라남도,고흥군,
DT_0027,완도,34.315556,126.759722,57,56,서해남부,전라남도,완도군,장보고대로 315
DT_0028,진도,34.377778,126.308611,49,57,서해남부,전라남도,진도군,금갑리
DT_0029,거제도,34.801389,128.699167,91,67,남해동부,경상남도,거제시,구조라로 101
DT_0030,위도,35.618056,126.301667,48,84,서해중부,전북특별자치도,부안군,위도로 2
DT_0031,거문도,34.028333,127.308889,67,50,남해서부,전라남도,여수시,거문길
DT_0032,강화대교,37.731944,126.522222,52,130,서해북부,,김포시,강화대교
DT_0034,안흥,36.673611,126.132222,45,107,서해중부,충청남도,태안군,신진도리
DT_0035,흑산도,34.684167,125.435556,33,64,서해남부,전라남도,신안군,진리
DT_0036,대청도,37.825222,124.718056,21,132,서해북부,인천광역시,옹진군,대청면
