지역명(한글),지역명(영문),위도,경도,제공 정보,미제공 정보
속초,Sokcho,38.25085000,128.56473000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무),WC(GTS현재일기) WP(GTS과거일기) WH(파고) BF(최대풍력) IX(유인/무인관측)
북춘천,Bukchuncheon,37.94738000,127.75443000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WC(GTS현재일기) WP(GTS과거일기) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무) IX(유인/무인관측),WH(파고) BF(최대풍력)
철원,Cheorwon,38.14787000,127.30420000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무),WC(GTS현재일기) WP(GTS과거일기) WH(파고) BF(최대풍력) IX(유인/무인관측)
동두천,Dongducheon,37.90188000,127.06070000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무),WC(GTS현재일기) WP(GTS과거일기) WH(파고) BF(최대풍력) IX(유인/무인관측)
파주,Paju,37.88589000,126.76648000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무),WC(GTS현재일기) WP(GTS과거일기) WH(파고) BF(최대풍력) IX(유인/무인관측)
대관령,Daegwallyeong,37.67713000,128.71834000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무),WC(GTS현재일기) WP(GTS과거일기) WH(파고) BF(최대풍력) IX(유인/무인관측)
춘천,Chuncheon,37.90262000,127.73570000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무),WC(GTS현재일기) WP(GTS과거일기) WH(파고) BF(최대풍력) IX(유인/무인관측)
백령도,Baengnyeongdo,37.97396000,124.71237000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) WC(GTS현재일기) WP(GTS과거일기) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) WH(파고) IR(강수자료유무) IX(유인/무인관측),RN(강수량) RN(강수량) RN(강수량) RN(강수량) BF(최대풍력)
북강릉,Bukgangneung,37.80456000,128.85535000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WC(GTS현재일기) WP(GTS과거일기) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) IR(강수자료유무) IX(유인/무인관측),TS(지면온도) WH(파고) BF(최대풍력)
강릉,Gangneung,37.75147000,128.89099000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무),WC(GTS현재일기) WP(GTS과거일기) WH(파고) BF(최대풍력) IX(유인/무인관측)
동해,Donghae,37.50709000,129.12433000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무),WC(GTS현재일기) WP(GTS과거일기) WH(파고) BF(최대풍력) IX(유인/무인관측)
서울,Seoul,37.57142000,126.96580000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WC(GTS현재일기) WP(GTS과거일기) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무) IX(유인/무인관측),WH(파고) BF(최대풍력)
인천,Incheon,37.47772000,126.62490000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WC(GTS현재일기) WP(GTS과거일기) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) WH(파고) BF(최대풍력) IR(강수자료유무) IX(유인/무인관측),
원주,Wonju,37.33749000,127.94659000,WD(풍향) WS(풍속) PA(현지기압) PS(해면기압) PT(기압변화경향) PR(기압변화량) TA(기온) TD(이슬점온도) HM(상대습도) PV(수증기압) RN(강수량) RN(강수량) RN(강수량) RN(강수량) WW(국내식일기코드) CT(운형) CT(운형) CT(운형) CT(운형) VS(시정) SS(일조) SI(일사) TS(지면온도) IR(강수자료유무),WC(GTS현재일기) WP(GTS과거일기) WH(파고) BF(최대풍력) IX(유인/무인관측)
