Code,Name,Latitude,Longitude,nx,ny,Closest_Name,Closest_Latitude,Closest_Longitude
SO_0326,미조항,34.706389,128.048611,89,68,남해,34.6967,127.9922
SO_0536,덕적도,37.227778,126.157778,53,119,덕적도,37.2361,126.0188
SO_0537,벽파진,34.539444,126.346111,57,67,해남,34.3157,126.5145
SO_0538,안마도,35.345556,126.016111,50,80,영광,34.77666667,126.39388889
SO_0539,강화외포,37.700833,126.3725,56,129,볼음도,37.6128,126.1347
SO_0540,호산항,37.176111,129.342778,104,115,삼척,37.46389,129.31805
SO_0543,서거차도,34.253611,125.917778,48,61,조도,34.286,126.115
SO_0547,말도,35.855278,126.318333,55,94,말도,35.85391,126.31797
SO_0548,우이도,34.620556,125.856667,47,67,신안,34.73333333,126.24166667
SO_0550,나로도,34.463056,127.453889,78,65,나로도,34.432,127.5893
SO_0551,여서도,33.988056,126.923333,68,53,거문도,34.0014,127.5014
SO_0552,고현항,34.901944,128.622222,96,75,이수도,34.97166667,128.75833333
SO_0553,해운대,35.1602777777778,129.1915,100,80,오륙도,35.091,129.127
SO_0554,영종왕산,37.458056,126.358889,55,125,장봉도,37.4912,126.354
SO_0555,서망항,34.366667,126.134167,52,63,진도,34.3777,126.3086
SO_0562,승봉도,37.169722,126.290556,55,117,이작도,37.1658,126.2067
SO_0563,울도,37.035556,125.995,50,114,서해143,37.5,124.0167
SO_0564,국화도,37.060556,126.560556,59,114,평택,36.96388889,126.82472222
SO_0565,향화도항,35.167778,126.359444,56,77,영광,34.77666667,126.39388889
SO_0566,송공항,34.848333,126.225278,54,72,신안,34.73333333,126.24166667
SO_0567,쉬미항,34.504722,126.183611,53,66,신안,34.73333333,126.24166667
SO_0568,백야도,34.624444,127.632222,81,67,여수,34.74416667,127.76805555
SO_0569,남포항,34.957778,128.321667,91,75,사량도,34.861,128.1395
SO_0570,광암항,35.1025,128.498889,94,78,마산,35.19694444,128.58
SO_0571,거제외포,34.939444,128.718056,98,75,이수도,34.97166667,128.75833333
SO_0572,읍천항,35.690833,129.475556,105,90,이덕서,35.5667,129.475
SO_0573,양포항,35.881389,129.5275,106,94,구룡포,35.95183,129.54965
SO_0574,백사장항,36.586389,126.315,56,105,안면도,36.5372,126.2975
SO_0576,화봉리,34.661111,126.256944,55,68,신안,34.73333333,126.24166667
SO_0577,가거도,34.050833,125.128889,35,55,가거도,34.0275,125.214722
SO_0578,소매물도,34.621944,128.548056,95,66,연화도,34.6733,128.3658
SO_0581,강양항,35.39,129.344722,102,85,간절곶,35.3667,129.3752
SO_0631,암태도,34.853056,126.071389,51,72,자은,34.91917,125.86806
SO_0699,천리포항,36.803889,126.146944,52,110,태안,36.9133,126.2386
SO_0701,홍도항,34.681111,125.195,37,68,홍도,34.746667,125.245556
SO_0702,진도옥도,34.350833,126.018611,50,62,조도,34.286,126.115
SO_0703,땅끝항,34.298889,126.531111,60,59,해남,34.3157,126.5145
SO_0704,소안항,34.15,126.631944,62,56,청산도,34.1387,126.7422
SO_0705,마량항,34.448889,126.821944,65,63,완도,34.3125,126.76138889
SO_0706,청산도,34.180833,126.856111,66,56,청산도,34.1387,126.7422
SO_0707,시산항,34.394444,127.261667,74,61,고흥,34.47666667,127.3475
SO_0708,안도항,34.479722,127.797778,83,64,금오도,34.5667,127.7765
SO_0709,두문포,34.643611,127.7975,84,68,금오도,34.5667,127.7765
SO_0710,봉우항,34.932778,127.9275,86,74,삼천포,34.924056,128.069722
SO_0711,창선도,34.840556,128.019444,88,72,사량도,34.861,128.1395
SO_0712,능양항,34.812222,128.245,91,71,사량도,34.861,128.1395
SO_0731,대진항,38.501389,128.426167,94,138,고성,38.31722,128.639167
SO_0732,남애항,37.944222,128.788333,99,129,연곡,37.8672,128.8857
SO_0733,강릉항,37.772278,128.951333,102,126,강릉,37.7968,129.0615
SO_0734,궁촌항,37.327806,129.270028,104,119,맹방,37.4013,129.2292
SO_0735,죽변항,37.054833,129.423917,106,113,죽변,37.10278,129.45944
SO_0736,축산항,36.509944,129.448139,105,103,영덕,36.33874,129.38274
SO_0737,강구항,36.358583,129.391306,104,100,영덕,36.33874,129.38274
SO_0738,여호항,34.661556,127.469556,78,68,고흥,34.47666667,127.3475
SO_0739,도장항,34.367306,127.011972,69,60,완도,34.3125,126.76138889
SO_0740,보옥항,34.129,126.513556,60,55,해남,34.3157,126.5145
SO_0752,검산항,35.0,126.107778,51,74,대치마도,35.0172,126.0315
SO_0753,하의도웅곡,34.608333,126.038611,50,66,신안,34.73333333,126.24166667
SO_0754,평호리,34.448056,126.455,58,64,해남,34.3157,126.5145
SO_0755,원동항,34.393889,126.648611,62,61,완도,34.3125,126.76138889
SO_0756,사초항,34.470278,126.761111,64,64,완도,34.3125,126.76138889
SO_0757,안남리,34.730278,127.264444,74,70,고흥,34.47666667,127.3475
SO_0758,달천도,34.761667,127.563056,80,71,여수,34.74416667,127.76805555
SO_0759,장문리,34.873611,128.424167,93,74,한산도,34.7062,128.496
SO_0760,오산항,36.888889,129.416111,105,109,울진,36.9069,129.8744
SO_0761,녹동항,34.527028,127.134528,72,65,고흥,34.47666667,127.3475
DT_0001,인천,37.451944,126.592222,58,125,"인천(송도)",37.3381,126.5861
DT_0002,평택,36.966944,126.822778,63,112,평택,36.96388889,126.82472222
DT_0003,영광,35.426111,126.420556,57,82,법성포,35.352,126.3874
DT_0004,제주,33.5275,126.543056,53,38,제주,33.52416667,126.54527778
DT_0005,부산,35.096389,129.035278,98,77,부산,35.09305556,129.0375
DT_0006,��호,37.550278,129.116389,102,123,묵호,37.5475,129.11861111
DT_0007,목포,34.7797222222222,126.375556,57,71,목포,34.77805556,126.3925
DT_0008,안산,37.192222,126.647222,60,118,안산,37.18944444,126.64972222
DT_0009,포항,36.0472222222222,129.383888888889,102,95,포항,36.35,129.7833
DT_0010,서귀포,33.24,126.561667,52,33,서귀포,33.1281,127.0228
DT_0011,후포,36.6775,129.453056,106,106,후포,36.67444444,129.45555556
DT_0012,속초,38.207222,128.594167,96,134,속초,38.20444444,128.59666667
DT_0013,울릉도,37.491389,130.913611,127,127,울릉읍,37.4715,130.9005
DT_0014,통영,34.827778,128.434722,93,72,통영,34.3917,128.225
DT_0015,마산,35.21,128.588889,95,81,마산,35.19694444,128.58
DT_0016,여수,34.747222,127.765556,83,70,여수,34.74416667,127.76805555
DT_0017,대산,37.0075,126.352778,56,113,대산,37.00472222,126.35444444
DT_0018,군산,35.975556,126.563056,58,97,군산외항,35.96833333,126.62666667
DT_0019,가덕도,35.024167,128.810833,99,74,가덕도,35.02166667,128.81305556
DT_0020,울산,35.501944,129.387222,103,87,울산,35.3453,129.8414
DT_0021,추자도,33.961944,126.300278,54,51,추자도,33.79361,126.1411
DT_0022,성산포,33.474722,126.927778,60,37,성산포,33.475,126.92777778
DT_0023,모슬포,33.214444,126.251111,48,32,모슬포,33.21444444,126.25111111
DT_0024,장항,36.006944,126.6875,60,98,장항,36.00694444,126.6875
DT_0025,보령,36.406389,126.486111,58,102,보령,36.40305555,126.4880555
DT_0026,고흥발포,34.481111,127.342778,76,64,고흥,34.47666667,127.3475
DT_0027,완도,34.315556,126.759722,64,59,완도,34.3125,126.76138889
DT_0028,진도,34.377778,126.308611,56,63,진도,34.3777,126.3086
DT_0029,거제도,34.801389,128.699167,97,71,거제도,34.7667,128.9
DT_0030,위도,35.618056,126.301667,55,87,위도,35.6153,126.3039
DT_0031,거문도,34.028333,127.308889,74,53,거문도,34.0014,127.5014
DT_0032,강화대교,37.731944,126.522222,58,129,볼음도,37.6128,126.1347
DT_0034,안흥,36.673611,126.132222,52,107,안흥,36.67,126.135
DT_0035,흑산도,34.684167,125.435556,41,68,대흑산도,34.68388889,125.4358333
DT_0036,대청도,37.825222,124.718056,39,131,백령도,37.9556,124.7361
DT_0037,어청도,36.117222,125.984722,50,99,어청도,36.1169,125.9847
DT_0038,굴업도,37.194444,125.995,50,118,덕적도,37.2361,126.0188
DT_0039,왕돌초,36.7191666666667,129.7325,110,106,왕돌초,36.71667,129.735
DT_0040,독도,37.238889,131.867222,146,123,독도,37.2373,131.8697
DT_0041,복사초,34.0983333333333,126.168333333333,52,56,조도,34.286,126.115
DT_0042,교본초,34.7047222222222,128.306388888889,91,68,교본초,34.70167,128.31
DT_0043,영흥도,37.2386111111111,126.428611111111,57,120,영흥도,37.2367,126.4314
DT_0044,��종대교,37.545556,126.584444,58,127,"인천(송도)",37.3381,126.5861
DT_0045,격렬비열도,36.624369,125.561964,44,106,외연도,36.25,125.75
DT_0046,쌍정초,37.556161,130.939211,128,128,혈암,37.5412,130.8542
DT_0047,도농탄,33.158056,126.274722,49,31,가파도,33.1623,126.2642
DT_0048,속초등표,38.199478,128.613083,96,134,속초,38.20444444,128.59666667
