event_message,event_type,function_id,id,level,timestamp
shutdown,Shutdown,55211477-d9a1-46c2-b72b-6cca9ead9e7a,41e40901-f1ea-456a-8682-7b89e3fbf5b0,log,1755660511802000
shutdown,Shutdown,55211477-d9a1-46c2-b72b-6cca9ead9e7a,d9ae9562-9bef-49ea-8ef8-589eb01e0b57,log,1755660507604000
shutdown,Shutdown,55211477-d9a1-46c2-b72b-6cca9ead9e7a,258e543d-e6ef-40cb-9154-b82d8c357700,log,1755660503151000
shutdown,Shutdown,55211477-d9a1-46c2-b72b-6cca9ead9e7a,d9b54fd4-eef4-4a69-af31-78f4d73132f8,log,1755660498801000
shutdown,Shutdown,55211477-d9a1-46c2-b72b-6cca9ead9e7a,d0b90ac3-12e3-43c9-bd9b-a15eb01f0bd6,log,1755660494461000
shutdown,Shutdown,55211477-d9a1-46c2-b72b-6cca9ead9e7a,11b10e89-9068-413c-9c18-ca8375fb7862,log,1755660485401000
shutdown,Shutdown,55211477-d9a1-46c2-b72b-6cca9ead9e7a,16c62e29-84de-4e4d-b4df-082b499c37f6,log,1755660480844000
shutdown,Shutdown,55211477-d9a1-46c2-b72b-6cca9ead9e7a,180d87b1-2555-4500-a3f0-1a4b51006f8f,log,1755660476335000
shutdown,Shutdown,55211477-d9a1-46c2-b72b-6cca9ead9e7a,b9330980-f255-42e9-9712-fe04af4b8343,log,1755660467469000
shutdown,Shutdown,55211477-d9a1-46c2-b72b-6cca9ead9e7a,5cdecc97-2399-42e1-ae39-56b627dbd146,log,1755660462976000
shutdown,Shutdown,55211477-d9a1-46c2-b72b-6cca9ead9e7a,50fe963f-0deb-4aa8-8c87-ae96a9e561fc,log,1755660458354000
"[MAIN] doWeatherFetch completed successfully
",Log,55211477-d9a1-46c2-b72b-6cca9ead9e7a,cea62538-87ba-4e9b-99a7-51aca5e4ad25,log,1755660440594000
"Batch starting at 120 finished successfully.
",Log,55211477-d9a1-46c2-b72b-6cca9ead9e7a,8121f238-c1a9-488b-8c93-572ea54ac5fa,log,1755660440430000
"All batches processed. Chain complete.
",Log,55211477-d9a1-46c2-b72b-6cca9ead9e7a,b69652cc-fff9-4369-a7c8-03709dce1fbf,log,1755660440430000
"Final batch summary: Processed 6 locations, Upserted 414 records.
",Log,55211477-d9a1-46c2-b72b-6cca9ead9e7a,974fd84d-ea88-4362-8139-0ba48c41034b,log,1755660440430000
"Grand total: Processed 126 unique locations across all batches, Upserted 9246 records in total.
",Log,55211477-d9a1-46c2-b72b-6cca9ead9e7a,4238d705-c73f-4d9b-b939-73533df9dd04,log,1755660440430000
"Upserting 414 records for this batch...
",Log,55211477-d9a1-46c2-b72b-6cca9ead9e7a,e1ec510f-a283-4d7b-9426-072bf6206172,log,1755660439661000
"Total unique grid locations: 126
",Log,55211477-d9a1-46c2-b72b-6cca9ead9e7a,5e941da2-467c-43bb-9919-095bc6082181,log,1755660437225000
"Processing 6 locations in this batch.
",Log,55211477-d9a1-46c2-b72b-6cca9ead9e7a,939f34ff-89f2-4747-b8b6-57e1f1e00971,log,1755660437225000
"[FETCH] Getting latest base date time...
",Log,55211477-d9a1-46c2-b72b-6cca9ead9e7a,a2b120a9-2c8b-418d-9a4a-fad5bd67792b,log,1755660437225000
"[FETCH] Base date time: 20250820 1100
",Log,55211477-d9a1-46c2-b72b-6cca9ead9e7a,47466a3f-4695-4493-aee7-64501b4ce645,log,1755660437225000
"[FETCH] Database query result - error: null
",Log,55211477-d9a1-46c2-b72b-6cca9ead9e7a,e781c7a8-84db-46f2-9899-b4436766a849,log,1755660437224000
"[FETCH] Database query result - data count: 134
",Log,55211477-d9a1-46c2-b72b-6cca9ead9e7a,4362fadd-fa57-4d14-a6fb-c2bc59f693b9,log,1755660437224000
"[MAIN] doWeatherFetch completed successfully
",Log,55211477-d9a1-46c2-b72b-6cca9ead9e7a,9f8a273a-294f-4f1a-b85f-9d9a00e3eb6f,log,1755660437063000
"[FETCH] Fetching locations from database...
",Log,55211477-d9a1-46c2-b72b-6cca9ead9e7a,9f06e357-e6eb-404b-be75-f2c4741778c1,log,1755660436839000
"Starting weather fetch for batch: startIndex=120, batchSize=10, totalRecordsUpsertedSoFar=8832
",Log,55211477-d9a1-46c2-b72b-6cca9ead9e7a,7dc117f9-3f8d-4396-b66e-0cac3b0dcd0a,log,1755660436802000
"[MAIN] Parsed params: startIndex=120, batchSize=10, totalRecordsUpserted=8832
",Log,55211477-d9a1-46c2-b72b-6cca9ead9e7a,4c32a58d-f26e-404d-af35-ce5bb425e8d6,log,1755660436801000
"[MAIN] Request body: {""startIndex"":120,""batchSize"":10,""totalRecordsUpserted"":8832}
",Log,55211477-d9a1-46c2-b72b-6cca9ead9e7a,8ceda979-835e-4ab2-9424-a3048595e410,log,1755660436801000
"[MAIN] About to call doWeatherFetch...
",Log,55211477-d9a1-46c2-b72b-6cca9ead9e7a,b0abc8dc-dd42-4212-9f04-1e8499fbe788,log,1755660436801000
"[FETCH] Environment check - SERVICE_ROLE_KEY: present
",Log,55211477-d9a1-46c2-b72b-6cca9ead9e7a,88e0912e-c6bc-4726-96c5-99d587715159,log,1755660436801000
