a_지역명(한글),a_STN ID,a_위도(LAT),a_경도(LON),Code,Name
남해,22498,34.6963,127.993,SO_0326,미조항
이작도,22461,37.1648,126.2067,SO_0536,덕적도
신안,22183,34.7333,126.2417,SO_0537,벽파진
영광,22475,35.4353,126.1765,SO_0538,안마도
장봉도,22496,37.49,126.3528,SO_0539,강화외포
죽변,22523,37.1025,129.46,SO_0540,호산항
맹골수도,22481,34.2265,125.9543,SO_0543,서거차도
비안도,22492,35.74,126.3525,SO_0547,말도
칠발도,22102,34.7933,125.7769,SO_0548,우이도
나로도,22502,34.4322,127.5892,SO_0550,나로도
청산도,22456,34.1377,126.7437,SO_0551,여서도
이수도,22513,34.9728,128.7577,SO_0552,고현항
오륙도,22459,35.0948,129.1282,SO_0553,해운대
장봉도,22496,37.49,126.3528,SO_0554,영종왕산
불무도,22503,34.318,126.1733,SO_0555,서망항
이작도,22461,37.1648,126.2067,SO_0562,승봉도
덕적도,22101,37.2361,126.0188,SO_0563,울도
풍도,22303,37.15833,126.41,SO_0564,국화도
낙월,22494,35.2007,126.2103,SO_0565,향화도항
신안,22183,34.7333,126.2417,SO_0566,송공항
진도,22449,34.4413,126.056,SO_0567,쉬미항
금오도,22466,34.5667,127.7765,SO_0568,백야도
연화도,22499,34.674,128.3655,SO_0569,남포항
이수도,22513,34.9728,128.7577,SO_0570,광암항
이수도,22513,34.9728,128.7577,SO_0571,거제외포
당사,22518,35.5788,129.5032,SO_0572,읍천항
구룡포,22524,35.9675,129.5993,SO_0573,양포항
천수만,22487,36.4672,126.4403,SO_0574,백사장항
신안,22183,34.7333,126.2417,SO_0576,화봉리
홍도,22298,34.746667,125.245556,SO_0577,가거도
소매물도,22485,34.6205,128.5383,SO_0578,소매물도
간절곶,22483,35.3668,129.375,SO_0581,강양항
대치마도,22489,35.0173,126.0322,SO_0631,암태도
신진도,22444,36.6048,126.1265,SO_0699,천리포항
홍도,22298,34.746667,125.245556,SO_0701,홍도항
진도,22449,34.4413,126.056,SO_0702,진도옥도
노화도,22477,34.2413,126.4915,SO_0703,땅끝항
청산도,22456,34.1377,126.7437,SO_0704,소안항
청산도,22456,34.1377,126.7437,SO_0705,마량항
청산도,22456,34.1377,126.7437,SO_0706,청산도
고흥,22478,34.3752,127.178,SO_0707,시산항
금오도,22466,34.5667,127.7765,SO_0708,안도항
금오도,22466,34.5667,127.7765,SO_0709,두문포
남해,22498,34.6963,127.993,SO_0710,봉우항
남해,22498,34.6963,127.993,SO_0711,창선도
두미도,22450,34.7092,128.1495,SO_0712,능양항
토성,22471,38.2768,128.5755,SO_0731,대진항
연곡,22451,37.8668,128.8857,SO_0732,남애항
연곡,22451,37.8668,128.8857,SO_0733,강릉항
맹방,22479,37.4013,129.2292,SO_0734,궁촌항
죽변,22523,37.1025,129.46,SO_0735,죽변항
후포,22465,36.7188,129.4882,SO_0736,축산항
월포,22490,36.2167,129.4013,SO_0737,강구항
