b_지역명,b_STN ID,b_위도(LAT),b_경도(LON),Code,Name
삼천포,52565,34.924056,128.069722,SO_0326,미조항
덕적도,22101,37.2361,126.0188,SO_0536,덕적도
진도,539800,34.3777,126.3086,SO_0537,벽파진
갈매여,958,35.61333333,126.245,SO_0538,안마도
인천,400031,37.44916667,126.5941667,SO_0539,강화외포
동해항,240130,37.495,129.1439,SO_0540,호산항
해수서,959,34.26333333,126.0266667,SO_0543,서거차도
십이동파,957,35.98666667,126.225,SO_0547,말도
칠발도,22102,34.7933,125.7769,SO_0548,우이도
고흥,548893,34.47666667,127.3475,SO_0550,나로도
완도,537800,34.3125,126.7613889,SO_0551,여서도
거제도,626800,34.79888889,128.7016667,SO_0552,고현항
오륙도,984,35.091,129.127,SO_0553,해운대
서수도,955,37.325,126.3933333,SO_0554,영종왕산
해수서,959,34.26333333,126.0266667,SO_0555,서망항
풍도,22303,37.15833,126.41,SO_0562,승봉도
덕적도,22101,37.2361,126.0188,SO_0563,울도
안산,445310,37.18944444,126.6497222,SO_0564,국화도
기상1호,22003,34.784195,126.405144,SO_0565,향화도항
신안,22183,34.7333,126.2417,SO_0566,송공항
진도,539800,34.3777,126.3086,SO_0567,쉬미항
여수,550070,34.74416667,127.7680556,SO_0568,백야도
통영,650804,34.82472222,128.4369444,SO_0569,남포항
마산,630651,35.19694444,128.58,SO_0570,광암항
가덕도,618440,35.02166667,128.8130556,SO_0571,거제외포
이덕서,963,35.5667,129.475,SO_0572,읍천항
포항,37716,36.01777778,129.3991667,SO_0573,양포항
안흥,357945,36.67,126.135,SO_0574,백사장항
신안,22183,34.7333,126.2417,SO_0576,화봉리
대흑산도,535951,34.68388889,125.4358333,SO_0577,가거도
통영,650804,34.82472222,128.4369444,SO_0578,소매물도
울산,695851,35.50055556,129.3894444,SO_0581,강양항
신안,22183,34.7333,126.2417,SO_0631,암태도
안흥,357945,36.67,126.135,SO_0699,천리포항
홍도,22298,34.746667,125.245556,SO_0701,홍도항
해수서,959,34.26333333,126.0266667,SO_0702,진도옥도
완도,537800,34.3125,126.7613889,SO_0703,땅끝항
완도,537800,34.3125,126.7613889,SO_0704,소안항
완도,537800,34.3125,126.7613889,SO_0705,마량항
완도,537800,34.3125,126.7613889,SO_0706,청산도
고흥,548893,34.47666667,127.3475,SO_0707,시산항
간여암,961,34.285,127.85778,SO_0708,안도항
여수,550070,34.74416667,127.7680556,SO_0709,두문포
삼천포,52565,34.924056,128.069722,SO_0710,봉우항
삼천포,52565,34.924056,128.069722,SO_0711,창선도
교본초,650940,34.70167,128.31,SO_0712,능양항
속초,217800,38.20444444,128.5966667,SO_0731,대진항
속초,217800,38.20444444,128.5966667,SO_0732,남애항
묵호,240050,37.5475,129.1186111,SO_0733,강릉항
동해항,240130,37.495,129.1439,SO_0734,궁촌항
후포,767800,36.67444444,129.4555556,SO_0735,죽변항
