﻿Code,Name,Latitude,Longitude,station_id,station_name,station_latitude,station_longitude,a_지역명(한글),a_STN ID,a_위도(LAT),a_경도(LON),a_제공 정보,b_STN ID,b_위도(LAT),b_경도(LON),b_제공 정보
SO_0326,미조항,34.706389,128.048611,22498,남해,34.6965,127.992,남해,22498,34.6963,127.993,TW(해수면온도),52565,34.924056,128.069722,PA(해면기압)
SO_0536,덕적도,37.227778,126.157778,22461,이작도,37.165,126.206,이작도,22461,37.1648,126.2067,TW(해수면온도),22101,37.2361,126.0188,HM(상대습도)
SO_0537,벽파진,34.539444,126.346111,539800,진도,34.3777,126.309,신안,22183,34.7333,126.2417,HM(상대습도),539800,34.3777,126.3086,PA(해면기압)
SO_0538,안마도,35.345556,126.016111,22475,영광,35.4357,126.176,영광,22475,35.4353,126.1765,TW(해수면온도),958,35.61333333,126.245,PA(해면기압)
SO_0539,강화외포,37.700833,126.3725,417820,강화대교,37.7319,126.522,장봉도,22496,37.49,126.3528,TW(해수면온도),400031,37.44916667,126.5941667,PA(해면기압)
SO_0540,호산항,37.176111,129.342778,22523,죽변,37.1028,129.459,죽변,22523,37.1025,129.46,TW(해수면온도),240130,37.495,129.1439,PA(해면기압)
SO_0543,서거차도,34.253611,125.917778,22481,맹골수도,34.2267,125.954,맹골수도,22481,34.2265,125.9543,TW(해수면온도),959,34.26333333,126.0266667,PA(해면기압)
SO_0547,말도,35.855278,126.318333,33003,말도,35.8539,126.318,비안도,22492,35.74,126.3525,TW(해수면온도),957,35.98666667,126.225,TA(기온)
SO_0548,우이도,34.620556,125.856667,22493,자은,34.9192,125.868,칠발도,22102,34.7933,125.7769,HM(상대습도),22102,34.7933,125.7769,HM(상대습도)
SO_0550,나로도,34.463056,127.453889,22502,나로도,34.4322,127.589,나로도,22502,34.4322,127.5892,TW(해수면온도),548893,34.47666667,127.3475,PA(해면기압)
SO_0551,여서도,33.988056,126.923333,22103,거문도,34.0014,127.501,청산도,22456,34.1377,126.7437,TW(해수면온도),537800,34.3125,126.7613889,PA(해면기압)
SO_0552,고현항,34.901944,128.622222,545711,광양,34.9034,127.755,이수도,22513,34.9728,128.7577,TW(해수면온도),626800,34.79888889,128.7016667,PA(해면기압)
SO_0553,해운대,35.160278,129.1915,984,오륙도,35.091,129.127,오륙도,22459,35.0948,129.1282,TW(해수면온도),984,35.091,129.127,PA(해면기압)
SO_0554,영종왕산,37.458056,126.358889,22496,장봉도,37.4905,126.354,장봉도,22496,37.49,126.3528,TW(해수면온도),955,37.325,126.3933333,PA(해면기압)
SO_0555,서망항,34.366667,126.134167,530350,목포,34.7781,126.393,불무도,22503,34.318,126.1733,TW(해수면온도),959,34.26333333,126.0266667,PA(해면기압)
SO_0562,승봉도,37.169722,126.290556,22472,자월도,37.3043,126.158,이작도,22461,37.1648,126.2067,TW(해수면온도),22303,37.15833,126.41,HM(상대습도)
SO_0563,울도,37.035556,125.995,573819,어청도,36.1169,125.985,덕적도,22101,37.2361,126.0188,HM(상대습도),22101,37.2361,126.0188,HM(상대습도)
SO_0564,국화도,37.060556,126.560556,22472,자월도,37.3043,126.158,풍도,22303,37.15833,126.41,HM(상대습도),445310,37.18944444,126.6497222,PA(해면기압)
SO_0565,향화도항,35.167778,126.359444,22492,비안도,35.74,126.352,낙월,22494,35.2007,126.2103,TW(해수면온도),22003,34.784195,126.405144,HM(상대습도)
SO_0566,송공항,34.848333,126.225278,530350,목포,34.7781,126.393,신안,22183,34.7333,126.2417,HM(상대습도),22183,34.7333,126.2417,HM(상대습도)
SO_0567,쉬미항,34.504722,126.183611,539800,진도,34.3777,126.309,진도,22449,34.4413,126.056,TW(해수면온도),539800,34.3777,126.3086,PA(해면기압)
SO_0568,백야도,34.624444,127.632222,550070,여수,34.7442,127.768,금오도,22466,34.5667,127.7765,TW(해수면온도),550070,34.74416667,127.7680556,PA(해면기압)
SO_0569,남포항,34.957778,128.321667,545711,광양,34.9034,127.755,연화도,22499,34.674,128.3655,TW(해수면온도),650804,34.82472222,128.4369444,PA(해면기압)
SO_0570,광암항,35.1025,128.498889,545711,광양,34.9034,127.755,이수도,22513,34.9728,128.7577,TW(해수면온도),630651,35.19694444,128.58,PA(해면기압)
SO_0571,거제외포,34.939444,128.718056,626800,거제도,34.7989,128.702,이수도,22513,34.9728,128.7577,TW(해수면온도),618440,35.02166667,128.8130556,PA(해면기압)
SO_0572,읍천항,35.690833,129.475556,22483,간절곶,35.3665,129.375,당사,22518,35.5788,129.5032,TW(해수면온도),963,35.5667,129.475,PA(해면기압)
SO_0573,양포항,35.881389,129.5275,22189,울산,35.3453,129.841,구룡포,22524,35.9675,129.5993,TW(해수면온도),37716,36.01777778,129.3991667,PA(해면기압)
SO_0574,백사장항,36.586389,126.315,22488,안면도,36.537,126.298,천수만,22487,36.4672,126.4403,TW(해수면온도),357945,36.67,126.135,PA(해면기압)
