Code,Name,Latitude,Longitude,a_지역명(한글),a_STN ID,a_위도(LAT),a_경도(LON),a_제공 정보,b_STN ID,b_위도(LAT),b_경도(LON),b_제공 정보
DT_0001,인천,37.451944,126.592222,장봉도,22496,37.49,126.3528,TW(해수면온도),400031,37.44916667,126.5941667,PA(해면기압)
DT_0002,평택,36.966944,126.822778,풍도,22303,37.15833,126.41,HM(상대습도),451821,36.96388889,126.8247222,PA(해면기압)
DT_0003,영광,35.426111,126.420556,변산,22497,35.6587,126.4593,TW(해수면온도),579911,35.6153,126.3039,PA(해면기압)
DT_0004,제주,33.5275,126.543056,제주항,22457,33.5248,126.4943,TW(해수면온도),690704,33.52416667,126.5452778,PA(해면기압)
DT_0005,부산,35.096389,129.035278,오륙도,22459,35.0948,129.1282,TW(해수면온도),158650,35.09305556,129.0375,PA(해면기압)
DT_0006,묵호,37.550278,129.116389,맹방,22479,37.4013,129.2292,TW(해수면온도),240050,37.5475,129.1186111,PA(해면기압)
DT_0007,목포,34.779722,126.375556,신안,22183,34.7333,126.2417,HM(상대습도),530350,34.77805556,126.3925,PA(해면기압)
DT_0008,안산,37.192222,126.647222,풍도,22303,37.15833,126.41,HM(상대습도),445310,37.18944444,126.6497222,PA(해면기압)
DT_0009,포항,36.047222,129.383889,월포,22490,36.2167,129.4013,TW(해수면온도),37716,36.01777778,129.3991667,PA(해면기압)
DT_0010,서귀포,33.24,126.561667,위미,22515,33.2233,126.7098,TW(해수면온도),697010,33.23666667,126.5636111,PA(해면기압)
DT_0011,후포,36.6775,129.453056,후포,22465,36.7188,129.4882,TW(해수면온도),767800,36.67444444,129.4555556,PA(해면기압)
DT_0012,속초,38.207222,128.594167,토성,22471,38.2768,128.5755,TW(해수면온도),217800,38.20444444,128.5966667,PA(해면기압)
DT_0013,울릉도,37.491389,130.913611,울릉읍,22464,37.4718,130.9003,TW(해수면온도),799801,37.49333333,130.9138889,PA(해면기압)
DT_0014,통영,34.827778,128.434722,한산도,22467,34.7058,128.497,TW(해수면온도),650804,34.82472222,128.4369444,PA(해면기압)
DT_0015,마산,35.21,128.588889,이수도,22513,34.9728,128.7577,TW(해수면온도),630651,35.19694444,128.58,PA(해면기압)
DT_0016,여수,34.747222,127.765556,금오도,22466,34.5667,127.7765,TW(해수면온도),550070,34.74416667,127.7680556,PA(해면기압)
DT_0017,대산,37.0075,126.352778,장안퇴,22509,37.033,126.2828,TW(해수면온도),356870,37.00472222,126.3544444,PA(해면기압)
DT_0018,군산,35.975556,126.563056,서천,22473,36.1668,126.333,TW(해수면온도),573400,35.96833333,126.6266667,PA(해면기압)
DT_0019,가덕도,35.024167,128.810833,이수도,22513,34.9728,128.7577,TW(해수면온도),618440,35.02166667,128.8130556,PA(해면기압)
DT_0020,울산,35.501944,129.387222,간절곶,22483,35.3668,129.375,TW(해수면온도),695851,35.50055556,129.3894444,PA(해면기압)
DT_0021,추자도,33.961944,126.300278,추자도,22468,33.9723,126.2785,TW(해수면온도),680050,33.95861111,126.3022222,PA(해면기압)
DT_0022,성산포,33.474722,126.927778,신산,22495,33.3778,126.9063,TW(해수면온도),699903,33.475,126.9277778,PA(해면기압)
DT_0023,모슬포,33.214444,126.251111,가파도,22476,33.1625,126.263,TW(해수면온도),699835,33.21444444,126.2511111,PA(해면기압)
DT_0024,장항,36.006944,126.6875,서천,22473,36.1668,126.333,TW(해수면온도),325903,36.00694444,126.6875,PA(해면기압)
DT_0025,보령,36.406389,126.486111,천수만,22487,36.4672,126.4403,TW(해수면온도),355844,36.40305555,126.4880555,PA(해면기압)
DT_0026,고흥발포,34.481111,127.342778,고흥,22478,34.3752,127.178,TW(해수면온도),548893,34.47666667,127.3475,PA(해면기압)
DT_0027,완도,34.315556,126.759722,청산도,22456,34.1377,126.7437,TW(해수면온도),537800,34.3125,126.7613889,PA(해면기압)
DT_0028,진도,34.377778,126.308611,불무도,22503,34.318,126.1733,TW(해수면온도),539800,34.3777,126.3086,PA(해면기압)
DT_0029,거제도,34.801389,128.699167,해금강,22455,34.7367,128.6908,TW(해수면온도),626800,34.79888889,128.7016667,PA(해면기압)
DT_0030,위도,35.618056,126.301667,위도,22504,35.6582,126.2613,TW(해수면온도),579911,35.6153,126.3039,PA(해면기압)
DT_0031,거문도,34.028333,127.308889,초도,22507,34.1512,127.2173,TW(해수면온도),556851,34.025,127.3108333,PA(해면기압)
DT_0032,강화대교,37.731944,126.522222,장봉도,22496,37.49,126.3528,TW(해수면온도),400031,37.44916667,126.5941667,PA(해면기압)
DT_0034,안흥,36.673611,126.132222,신진도,22444,36.6048,126.1265,TW(해수면온도),357945,36.67,126.135,PA(해면기압)
DT_0035,흑산도,34.684167,125.435556,홍도,22298,34.746667,125.245556,HM(상대습도),535951,34.68388889,125.4358333,PA(해면기압)
DT_0036,대청도,37.825222,124.718056,연평도,22522,37.619,125.6483,TW(해수면온도),23102,37.9556,124.7361,PA(해면기압)
DT_0037,어청도,36.117222,125.984722,녹도,22526,36.2638,126.2073,TW(해수면온도),573819,36.1169,125.9847,PA(해면기압)
DT_0038,굴업도,37.194444,125.995,덕적도,22101,37.2361,126.0188,HM(상대습도),22101,37.2361,126.0188,HM(상대습도)
DT_0039,왕돌초,36.719167,129.7325,울진,22190,36.9069,129.8744,HM(상대습도),132129,36.71667,129.735,PA(해면기압)
DT_0040,독도,37.238889,131.867222,독도,22441,37.237,131.8698,TW(해수면온도),21229,37.4554,131.1144,HM(상대습도)
DT_0041,복사초,34.098333,126.168333,추자도,22468,33.9723,126.2785,TW(해수면온도),680050,33.95861111,126.3022222,PA(해면기압)
DT_0042,교본초,34.704722,128.306389,연화도,22499,34.674,128.3655,TW(해수면온도),650940,34.70167,128.31,PA(해면기압)
DT_0043,영흥도,37.238611,126.428611,풍도,22303,37.15833,126.41,HM(상대습도),409870,37.2367,126.4314,PA(해면기압)
DT_0044,영종대교,37.545556,126.584444,장봉도,22496,37.49,126.3528,TW(해수면온도),400031,37.44916667,126.5941667,PA(해면기압)
