Code,Name,Latitude,Longitude,Closest_Name,Closest_Latitude,Closest_Longitude,Distance_km
SO_0326,미조항,34.706389,128.048611,남해,34.81662,127.92641,14.88
SO_0536,덕적도,37.227778,126.157778,인천,37.47772,126.6249,48.74
SO_0537,벽파진,34.539444,126.346111,진도군,34.47296,126.25846,11.23
SO_0538,안마도,35.345556,126.016111,영광군,35.28366,126.47784,41.38
SO_0539,강화외포,37.700833,126.3725,강화,37.70739,126.44634,6.27
SO_0540,호산항,37.176111,129.342778,동해,37.50709,129.12433,41.05
SO_0543,서거차도,34.253611,125.917778,진도군,34.47296,126.25846,38.65
SO_0547,말도,35.855278,126.318333,군산,36.0053,126.76135,42.14
SO_0548,우이도,34.620556,125.856667,흑산도,34.68719,125.45105,35.91
SO_0550,나로도,34.463056,127.453889,고흥,34.61826,127.27572,22.84
SO_0551,여서도,33.988056,126.923333,완도,34.3959,126.70182,49.37
SO_0552,고현항,34.901944,128.622222,통영,34.84541,128.43561,17.52
SO_0553,해운대,35.160278,129.1915,부산,35.10468,129.03203,15.65
SO_0554,영종왕산,37.458056,126.358889,인천,37.47772,126.6249,23.1
SO_0555,서망항,34.366667,126.134167,진도군,34.47296,126.25846,15.7
SO_0562,승봉도,37.169722,126.290556,서산,36.77658,126.4939,47.16
SO_0563,울도,37.035556,125.995,서산,36.77658,126.4939,54.48
SO_0564,국화도,37.060556,126.560556,수원,37.25746,126.983,42.5
SO_0565,향화도항,35.167778,126.359444,영광군,35.28366,126.47784,16.48
SO_0566,송공항,34.848333,126.225278,목포,34.81732,126.38151,14.12
SO_0567,쉬미항,34.504722,126.183611,진도군,34.47296,126.25846,7.42
SO_0568,백야도,34.624444,127.632222,여수,34.73929,127.74063,15.9
SO_0569,남포항,34.957778,128.321667,통영,34.84541,128.43561,16.27
SO_0570,광암항,35.1025,128.498889,창원,35.17019,128.57282,10.03
SO_0571,거제외포,34.939444,128.718056,거제,34.88818,128.60459,11.28
SO_0572,읍천항,35.690833,129.475556,울산,35.58237,129.33469,17.18
SO_0573,양포항,35.881389,129.5275,포항,36.03201,129.38002,20.91
SO_0574,백사장항,36.586389,126.315,보령,36.32724,126.55744,33.74
SO_0576,화봉리,34.661111,126.256944,진도군,34.47296,126.25846,20.93
SO_0577,가거도,34.050833,125.128889,흑산도,34.68719,125.45105,74.05
SO_0578,소매물도,34.621944,128.548056,통영,34.84541,128.43561,27.27
SO_0581,강양항,35.39,129.344722,울산,35.58237,129.33469,21.36
SO_0631,암태도,34.853056,126.071389,목포,34.81732,126.38151,27.53
SO_0699,천리포항,36.803889,126.146944,서산,36.77658,126.4939,30.68
SO_0701,홍도항,34.681111,125.195,흑산도,34.68719,125.45105,22.38
SO_0702,진도옥도,34.350833,126.018611,진도군,34.47296,126.25846,24.81
SO_0703,땅끝항,34.298889,126.531111,해남,34.55375,126.56907,28.57
SO_0704,소안항,34.15,126.631944,완도,34.3959,126.70182,28.09
SO_0705,마량항,34.448889,126.821944,강진군,34.64457,126.78408,22.04
SO_0706,청산도,34.180833,126.856111,완도,34.3959,126.70182,28.32
SO_0707,시산항,34.394444,127.261667,고흥,34.61826,127.27572,24.9
SO_0708,안도항,34.479722,127.797778,여수,34.73929,127.74063,29.53
SO_0709,두문포,34.643611,127.7975,여수,34.73929,127.74063,11.64
SO_0710,봉우항,34.932778,127.9275,남해,34.81662,127.92641,12.92
SO_0711,창선도,34.840556,128.019444,남해,34.81662,127.92641,8.24
SO_0712,능양항,34.812222,128.245,통영,34.84541,128.43561,16.92
SO_0731,대진항,38.501389,128.426167,속초,38.25085,128.56473,30.69
SO_0732,남애항,37.944222,128.788333,북강릉,37.80456,128.85535,16.71
SO_0733,강릉항,37.772278,128.951333,강릉,37.75147,128.89099,5.67
SO_0734,궁촌항,37.327806,129.270028,동해,37.50709,129.12433,23.32
SO_0735,죽변항,37.054833,129.423917,울진,36.99176,129.41278,7.02
