Code,Name,Latitude,Longitude,Closest_Name,Closest_Latitude,Closest_Longitude,Distance_km
SO_0326,미조항,34.706389,128.048611,남해,34.6967,127.9922,5.09
SO_0536,덕적도,37.227778,126.157778,덕적도,37.2361,126.0188,12.16
SO_0537,벽파진,34.539444,126.346111,진도,34.3777,126.3086,18.27
SO_0538,안마도,35.345556,126.016111,법성포,35.352,126.3874,33
SO_0539,강화외포,37.700833,126.3725,볼음도,37.6128,126.1347,22.09
SO_0540,호산항,37.176111,129.342778,맹방,37.4013,129.2292,27.53
SO_0543,서거차도,34.253611,125.917778,맹골수도,34.2263,125.9537,4.31
SO_0547,말도,35.855278,126.318333,말도,35.85391,126.31797,0.16
SO_0548,우이도,34.620556,125.856667,칠발도,34.7933,125.7769,21.36
SO_0550,나로도,34.463056,127.453889,나로도,34.432,127.5893,11.95
SO_0551,여서도,33.988056,126.923333,청산도,34.1387,126.7422,23.44
SO_0552,고현항,34.901944,128.622222,통영,34.3917,128.225,66.86
SO_0553,해운대,35.160278,129.1915,오륙도,35.091,129.127,9.94
SO_0554,영종왕산,37.458056,126.358889,장봉도,37.4912,126.354,3.59
SO_0555,서망항,34.366667,126.134167,조도,34.286,126.115,9.28
SO_0562,승봉도,37.169722,126.290556,이작도,37.1658,126.2067,7.33
SO_0563,울도,37.035556,125.995,굴업도,37.194444,125.995,17.67
SO_0564,국화도,37.060556,126.560556,평택,36.963889,126.824722,23.95
SO_0565,향화도항,35.167778,126.359444,법성포,35.352,126.3874,20.66
SO_0566,송공항,34.848333,126.225278,신안,34.733333,126.241667,12.83
SO_0567,쉬미항,34.504722,126.183611,지산,34.44957,126.1184,8.84
SO_0568,백야도,34.624444,127.632222,여수,34.744167,127.768056,17.63
SO_0569,남포항,34.957778,128.321667,사량도,34.861,128.1395,20.08
SO_0570,광암항,35.1025,128.498889,마산,35.196944,128.58,13.06
SO_0571,거제외포,34.939444,128.718056,이수도,34.971667,128.758333,4.88
SO_0572,읍천항,35.690833,129.475556,이덕서,35.5667,129.475,13.8
